timestamp,open,high,low,close,volume,text,label
2026-01-01 00:00,100.0,101.5,99.5,101.0,1500,,hold
2026-01-01 01:00,101.0,102.0,100.8,101.8,1620,,hold
2026-01-01 02:00,101.8,103.5,101.5,103.2,2100,Fed hints at rate cut,long
2026-01-01 03:00,103.2,104.0,102.9,103.8,1980,,long
2026-01-01 04:00,103.8,104.2,101.5,102.0,2500,Inflation data above expectations,short
2026-01-01 05:00,102.0,102.5,100.2,100.8,2300,,short
2026-01-01 06:00,100.8,101.5,100.0,101.2,1700,,hold
2026-01-01 07:00,101.2,102.8,101.0,102.5,1900,Strong jobs report,long
2026-01-01 08:00,102.5,103.0,101.8,102.2,1600,,hold
2026-01-01 09:00,102.2,102.6,100.5,101.0,2200,,short
